rank,holderId,legacyV1Address,etherscanLabel,holderType,isContractAtSnapshot,codeBytesAtSnapshot,v1RawAmount,v1Amount,v2RawAmount,v2Amount,conversionRule,proposedDisposition,dispositionReason,draftThresholdEligible,destinationAddress,addressOverride,addressOverrideProofHash,ownerDecision,ownerDecisionReference,draftBatch,draftIndexInBatch,sourceAllocationId,sourceSafe,status
143,v1-mainnet-0143,0x643de75963be4ba68c58c6c0f22da2ad94f3cd48,,EOA_CANDIDATE,False,0,8916700000000,8.916700000000,8916700000000000000,8.916700000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
144,v1-mainnet-0144,0x8992d1380657ae46d18423417c4eed9bdd4c1f81,,EOA_CANDIDATE,False,0,8916300000000,8.916300000000,8916300000000000000,8.916300000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
145,v1-mainnet-0145,0xf7c8426d1f1472561a9b54146c0ef6f5a911a73d,,EOA_CANDIDATE,False,0,8910800000000,8.910800000000,8910800000000000000,8.910800000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
146,v1-mainnet-0146,0xf50d4183552ba2a689a5f8082553e32bac09f7be,,EOA_CANDIDATE,False,0,8895400000000,8.895400000000,8895400000000000000,8.895400000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
147,v1-mainnet-0147,0x6ad76ce1168fc8d69283c5c565758479c01e6734,,EOA_CANDIDATE,False,0,8883500000000,8.883500000000,8883500000000000000,8.883500000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
148,v1-mainnet-0148,0x6ea67f6aa31d370f191e7f38f916f11d211aa5ce,,EOA_CANDIDATE,False,0,8871900000000,8.871900000000,8871900000000000000,8.871900000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
149,v1-mainnet-0149,0x6f3c2aee7b67b461fe99d8b906976e0f85bf18d8,,EOA_CANDIDATE,False,0,8849900000000,8.849900000000,8849900000000000000,8.849900000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
150,v1-mainnet-0150,0x8f1de543653b3921cb3d6c7088d578414429648d,,EOA_CANDIDATE,False,0,8843600000000,8.843600000000,8843600000000000000,8.843600000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
151,v1-mainnet-0151,0xff7c0a99d2a036f89268d03159ab7714b0019eb9,,EOA_CANDIDATE,False,0,8825000000000,8.825000000000,8825000000000000000,8.825000000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
152,v1-mainnet-0152,0x1bafcd4f2ca53d78b2cec536359e080752bfe592,,EOA_CANDIDATE,False,0,8810800000000,8.810800000000,8810800000000000000,8.810800000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
